ev_type,agents,agents_charged,avg_sessions,avg_kwh,pct_home,pct_work,pct_public
BEV,91103,20872,0.25,0.82,39.1,21.2,39.7
PHEV,39734,11646,0.33,0.83,27.5,17.2,55.3
