charger_id,station_name,address,city,state,latitude,longitude,x_projected,y_projected,level,plug_power_kw,plug_count,ev_network,connector_types,facility_type
l2_DC_0103,1625 NE CONDOS STATION 2,1625 Eckington Pl NE,Washington,DC,38.911779,-77.00386,399664.9582,138212.8535,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0104,1275 New Jersey Ave,1275 New Jersey Avenue Southeast,Washington,DC,38.8752301,-77.0039287,399658.8149,134155.6421,L2,7.2,6,Blink Network,J1772,
l2_DC_0105,901 F,901 F St. NW,Washington,DC,38.8976072,-77.0240107,397916.8834,136639.9385,L2,7.2,2,Blink Network,J1772,
l2_DC_0106,Garage 2A,"Riley St SW, Washington DC, 20024",Washington,DC,38.8779129,-77.0219095,398098.6257,134453.6748,L2,7.2,16,Blink Network,J1772,
l2_DC_0107,The Wharf Public Garage 3,600 Water Street Southwest,Washington,DC,38.8753566,-77.0210991,398168.8782,134169.8899,L2,7.2,14,Blink Network,J1772,
l2_DC_0108,1000 South Capitol,1000 S Capitol St SE,Washington,DC,38.8783202,-77.0087047,399244.417,134498.6951,L2,7.2,4,Blink Network,J1772,
l2_DC_0109,2112 PENN STATION 1,2112 Pennsylvania Ave NW,Washington,DC,38.901559,-77.047744,395858.3313,137079.4296,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0110,WOODLEY P2 WOODLEY #1,2700 Woodley Rd NW,Washington,DC,38.925524,-77.055794,395161.6904,139740.1356,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0111,The Apollo,600 H St NE,Washington,DC,38.900253,-76.998243,400152.1384,136933.369,L2,7.2,2,Blink Network,J1772,
l2_DC_0112,670 Maine Private Parking Nest,"670 Maine Ave SW, Washington DC 20024",Washington,DC,38.8777768,-77.0225306,398044.7288,134438.5798,L2,7.2,6,Blink Network,J1772,
l2_DC_0113,Capitol Riverfront,861 New Jersey Ave SE,Washington,DC,38.880326,-77.00574017,399501.6638,134721.3334,L2,7.2,6,Blink Network,J1772,
l2_DC_0114,600 Water Private Parking Nest,600 Water Street Southwest,Washington,DC,38.8753566,-77.0210991,398168.8782,134169.8899,L2,7.2,5,Blink Network,J1772,
